,pl_name,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,sy_vmag,sy_kmag,sy_gaiamag
256,TOI-1710 b,Transiting Exoplanet Survey Satellite (TESS),24.283377,5.20315158,22.4,0,5684,0.9574,1.0258,9.545,7.959,9.35983
258,TOI-172 b,Transiting Exoplanet Survey Satellite (TESS),9.47725,10.816685,1722.6386,0.3806,5645,1.777,1.128,11.299,9.722,11.1927
260,TOI-1728 b,Transiting Exoplanet Survey Satellite (TESS),3.49151,5.05,26.78,0.057,3980,0.6243,0.646,12.39,8.803001,11.7294
261,TOI-1736 b,Transiting Exoplanet Survey Satellite (TESS),7.073076,3.18175535,12.3,0,5636,1.4286,1.0373,8.953,7.283,8.77969
263,TOI-1742 b,Transiting Exoplanet Survey Satellite (TESS),21.269084,2.36507598,9.7,0.3,5815,1.131,1.0861,8.863,7.335,8.72791
266,TOI-1749 b,Transiting Exoplanet Survey Satellite (TESS),2.38839,1.39,57,0.14,3985,0.55,0.58,13.86,10.27,13.1798
267,TOI-1749 c,Transiting Exoplanet Survey Satellite (TESS),4.4929,2.12,14,0.019,3985,0.55,0.58,13.86,10.27,13.1798
268,TOI-1749 d,Transiting Exoplanet Survey Satellite (TESS),9.0497,2.52,15,0.062,3985,0.55,0.58,13.86,10.27,13.1798
269,TOI-1751 b,Transiting Exoplanet Survey Satellite (TESS),37.46852,2.9507845,19.5,0.327,5970,1.3137,0.9382,9.327,7.934,9.18941
270,TOI-1753 b,Transiting Exoplanet Survey Satellite (TESS),5.3846104,2.47852533,16.6,0,5621,0.9715,0.9483,11.831,10.175,11.664
272,TOI-1759 b,Transiting Exoplanet Survey Satellite (TESS),18.85019,3.14,10.8,0,4065,0.597,0.606,11.93,7.93,10.8385
275,TOI-1775 b,Transiting Exoplanet Survey Satellite (TESS),10.2405549,8.04728896,96,0,5284,0.8288,0.9218,11.648,9.722,11.4501
276,TOI-1776 b,Transiting Exoplanet Survey Satellite (TESS),2.799868,1.21612741,1.4,0,5785,0.9356,0.9196,8.26,6.687,8.09023
286,TOI-1794 b,Transiting Exoplanet Survey Satellite (TESS),8.765528,3.29701268,8.7,0,5631,1.3162,0.9698,10.32,8.692,10.1444
290,TOI-1801 b,Transiting Exoplanet Survey Satellite (TESS),10.64387,2.079,5.738,0,3863,0.547,0.556,11.58,7.805,10.8269
