,pl_name,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,sy_vmag,sy_kmag,sy_gaiamag
461,TOI-3364 b,Transiting Exoplanet Survey Satellite (TESS),5.8768918,12.22899794,530.7734397,0,5706,1.419,1.186,11.875,9.783,11.2945
462,TOI-3464 b,Transiting Exoplanet Survey Satellite (TESS),3.6515568,13.7646283,397.2855088,0.25,6370,1.56,1.363,12.731,11.095,12.5094
463,TOI-3474 b,Transiting Exoplanet Survey Satellite (TESS),3.8795105,14.67255574,193.8753283,0.13,6020,1.256,1.121,12.531,10.943,12.4418
464,TOI-3486 b,Transiting Exoplanet Survey Satellite (TESS),2.21778105,10.5700688,99.16246298,0.078,4930,0.788,0.837,12.329,10.004,12.1144
466,TOI-3523 A b,Transiting Exoplanet Survey Satellite (TESS),2.30458952,15.9727975,435.4249176,0.047,6450,1.448,1.131,12.56,11.146,12.4946
467,TOI-3540 A b,Transiting Exoplanet Survey Satellite (TESS),3.119999,23.53885947,375.0375203,0,5810,1.228,1.081,11.514,9.784,11.4036
468,TOI-3568 b,Transiting Exoplanet Survey Satellite (TESS),4.417965,5.3,26.4,0.035,4969,0.719,0.78,12.879,10.581,12.7
469,TOI-3593 b,Transiting Exoplanet Survey Satellite (TESS),3.8212867,11.02963701,565.7345645,0.105,5550,0.918,1.015,12.201,10.266,12.0344
470,TOI-3629 b,Transiting Exoplanet Survey Satellite (TESS),3.936551,8.29464572,82.63538582,0.05,3870,0.6,0.63,14.639,10.553,13.8375
471,TOI-3682 b,Transiting Exoplanet Survey Satellite (TESS),3.3462406,12.80065596,69.28659273,0.22,5703,1.735,1.32,11.678,10.062,11.8754
472,TOI-3688 A b,Transiting Exoplanet Survey Satellite (TESS),3.246075,13.08088048,311.4718389,0,5950,1.302,1.199,12.241,10.732,12.3686
473,TOI-3693 b,Transiting Exoplanet Survey Satellite (TESS),9.088516,12.59889431,324.1849751,0,5321,0.791,0.867,11.948,10.151,11.9579
474,TOI-3714 b,Transiting Exoplanet Survey Satellite (TESS),2.154849,11.32107051,222.4798849,0.03,3660,0.51,0.53,15.7,10.852,14.3107
475,TOI-3757 b,Transiting Exoplanet Survey Satellite (TESS),3.438753,12,85.3,0.14,3913,0.62,0.64,14.812,11.152,14.1321
476,TOI-3785 b,Transiting Exoplanet Survey Satellite (TESS),4.6747373,5.14,14.95,0.11,3576,0.5,0.52,14.595,10.165,13.6559
477,TOI-3807 b,Transiting Exoplanet Survey Satellite (TESS),2.8989727,18.49481816,330.5415433,0,5772,1.468,1.181,11.856,10.617,12.0338
478,TOI-3819 b,Transiting Exoplanet Survey Satellite (TESS),3.2443141,13.13692538,352.7895318,0,5859,1.538,1.242,12.542,11.077,12.413
479,TOI-3837 b,Transiting Exoplanet Survey Satellite (TESS),11.88865,10.87271128,187.5187601,0.221,5905,1.2,0.89,11.673,10.316,11.8041
480,TOI-3856 b,Transiting Exoplanet Survey Satellite (TESS),2.04360352,13.59649359,171.6273398,0.083,5622,1.055,1.096,12.292,10.611,12.1318
481,TOI-3877 b,Transiting Exoplanet Survey Satellite (TESS),4.123596,11.67975789,99.7981198,0.22,5731,1.445,1.16,12.215,10.916,12.3643
482,TOI-3884 b,Transiting Exoplanet Survey Satellite (TESS),4.5445828,6.43,32.59,0.06,3180,0.302,0.298,15.744,10.24,14.2747
483,TOI-3894 b,Transiting Exoplanet Survey Satellite (TESS),4.33454,15.27784069,260.6192937,0.05,6000,1.502,1.138,11.992,10.479,11.6943
484,TOI-3912 b,Transiting Exoplanet Survey Satellite (TESS),3.4936264,14.28024141,129.0383332,0,5725,1.392,1.088,12.507,10.922,12.3073
485,TOI-3919 b,Transiting Exoplanet Survey Satellite (TESS),7.433234,12.31866979,1233.174219,0.259,6100,1.319,1.208,12.858,11.502,12.7133
486,TOI-3976 A b,Transiting Exoplanet Survey Satellite (TESS),6.607662,12.27383387,55.61997123,0,5975,1.501,1.254,12.403,11.048,12.2192
487,TOI-3980 b,Transiting Exoplanet Survey Satellite (TESS),3.6089254,14.4595851,187.5187601,0.16,5840,1.626,1.24,12.549,10.741,12.3751
488,TOI-3984 A b,Transiting Exoplanet Survey Satellite (TESS),4.353326,7.9,44,0.23,3476,0.47,0.49,15.694,11.052,14.6718
489,TOI-4010 b,Transiting Exoplanet Survey Satellite (TESS),1.348335,3.02,11,0.03,4960,0.83,0.88,12.291,10.157,12.1216
490,TOI-4010 c,Transiting Exoplanet Survey Satellite (TESS),5.414654,5.93,20.31,0.03,4960,0.83,0.88,12.291,10.157,12.1216
491,TOI-4010 d,Transiting Exoplanet Survey Satellite (TESS),14.70886,6.18,38.15,0.07,4960,0.83,0.88,12.291,10.157,12.1216
492,TOI-406 c,Transiting Exoplanet Survey Satellite (TESS),3.307441,1.32,2.08,0.032,3392,0.41,0.408,13.773,8.848,12.5528
493,TOI-406.01,Transiting Exoplanet Survey Satellite (TESS),13.175682,2.08,6.57,0.056,3392,0.41,0.408,13.773,8.848,12.5528
494,TOI-4087 b,Transiting Exoplanet Survey Satellite (TESS),3.1774835,13.04725353,232.0147371,0,6060,1.112,1.178,12.107,10.436,11.7064
497,TOI-4127 b,Transiting Exoplanet Survey Satellite (TESS),56.39879,12.28504285,731.0053361,0.7471,6096,1.293,1.23,11.441,10.245,11.4122
498,TOI-4137 b,Transiting Exoplanet Survey Satellite (TESS),3.8016122,13.57407563,457.6729061,0,6202,1.438,1.313,11.31,10.004,11.2468
499,TOI-4145 A b,Transiting Exoplanet Survey Satellite (TESS),4.0664428,13.30506009,136.666215,0,5281,0.859,0.905,12.084,10.286,12.0572
500,TOI-4153 b,Transiting Exoplanet Survey Satellite (TESS),4.6174141,16.11851425,365.5026681,0.039,6860,1.605,1.572,11.601,10.296,11.5632
503,TOI-4201 b,Transiting Exoplanet Survey Satellite (TESS),3.5819194,13.67495645,788.2144494,0.041,3794,0.63,0.61,15.163,11.368,14.5001
504,TOI-421 b,Transiting Exoplanet Survey Satellite (TESS),5.197576,2.64,6.7,0.13,5291,0.866,0.833,9.931,8.071,9.77776
505,TOI-421 c,Transiting Exoplanet Survey Satellite (TESS),16.067541,5.09,14.1,0.19,5291,0.866,0.833,9.931,8.071,9.77776
506,TOI-4214 b,Transiting Exoplanet Survey Satellite (TESS),3.4913885,10.68215861,165.2707716,0.17,6370,1.434,1.382,11.79,10.036,11.4587
508,TOI-431 b,Transiting Exoplanet Survey Satellite (TESS),0.490047,1.28,3.07,0,4850,0.731,0.78,9.12,6.723,8.79171
509,TOI-431 d,Transiting Exoplanet Survey Satellite (TESS),12.46103,3.29,9.9,0,4850,0.731,0.78,9.12,6.723,8.79171
510,TOI-4329 b,Transiting Exoplanet Survey Satellite (TESS),2.9223,16.81347105,143.0227832,0.068,6000,2.31,1.538,12.724,10.63,12.4747
515,TOI-4377 b,Transiting Exoplanet Survey Satellite (TESS),4.378081,15.10970598,304.1617855,0.045,4974,3.52,1.36,11.707,9.148,11.4565
516,TOI-4379 b,Transiting Exoplanet Survey Satellite (TESS),3.25352,16.69017226,353.743017,0.018,6020,1.976,1.372,12.661,10.732,12.4083
517,TOI-4406 b,Transiting Exoplanet Survey Satellite (TESS),30.08364,11.2089807,95.3485221,0.15,6219,1.29,1.19,10.937,9.73,10.9545
518,TOI-4438 b,Transiting Exoplanet Survey Satellite (TESS),7.44628,2.52,5.4,0.14,3422,0.372,0.368,13.69,8.869,12.5196
521,TOI-4463 A b,Transiting Exoplanet Survey Satellite (TESS),2.8807198,13.26022417,252.3557552,0,5640,1.062,1.056,11.036,9.402,10.9505
522,TOI-4465 b,Transiting Exoplanet Survey Satellite (TESS),101.94054,14.01122587,1872.009317,0.24,5545,1.014,0.93,10.427,8.787,10.3255
524,TOI-4487 A b,Transiting Exoplanet Survey Satellite (TESS),3.9540709,14.60530185,397.2855088,0.083,6206,1.634,1.378,12.109,10.556,11.9269
527,TOI-4504 c,Transiting Exoplanet Survey Satellite (TESS),82.97213,11.09689089,1197.323175,0.032,5315,0.92,0.89,13.364,11.236,13.1277
531,TOI-4515 b,Transiting Exoplanet Survey Satellite (TESS),15.266446,12.17,637,0.461,5433,0.86,0.949,11.938,10.134,11.8121
533,TOI-4551 b,Transiting Exoplanet Survey Satellite (TESS),9.95581,11.85910158,473.5643264,0.101,4896,3.55,1.31,9.973,7.524,9.641
536,TOI-4582 b,Transiting Exoplanet Survey Satellite (TESS),31.034,10.53644186,168.4490557,0.51,5190,2.5,1.34,11.27,9.329001,11.0809
537,TOI-4600 b,Transiting Exoplanet Survey Satellite (TESS),82.6869,6.8,959.8417891,0.25,5170,0.81,0.89,12.577,10.571,12.4406
538,TOI-4600 c,Transiting Exoplanet Survey Satellite (TESS),482.8191,9.42,2946.269333,0.21,5170,0.81,0.89,12.577,10.571,12.4406
540,TOI-4603 b,Transiting Exoplanet Survey Satellite (TESS),7.24599,11.67975789,4096.808166,0.325,6264,2.738,1.765,9.24,7.786,9.07469
541,TOI-4633 c,Transiting Exoplanet Survey Satellite (TESS),271.9445,3.2,123,0.117,5800,1.05,1.1,9.017,7.349,8.81983
543,TOI-4641 b,Transiting Exoplanet Survey Satellite (TESS),22.09341,8.18255591,1229.995935,0.074,6560,1.72,1.41,7.51,6.579,7.40775
545,TOI-4734 b,Transiting Exoplanet Survey Satellite (TESS),6.235633,10.9175472,61.65871096,0.12,6070,1.857,1.391,12.358,10.848,12.3807
546,TOI-4773 b,Transiting Exoplanet Survey Satellite (TESS),1.7452851,15.22179579,1687.668841,0.024,6740,1.55,1.452,12.075,10.715,11.7194
547,TOI-4791 b,Transiting Exoplanet Survey Satellite (TESS),4.28088,12.44196858,734.1836202,0,6058,1.409,1.242,11.541,10.019,11.3152
548,TOI-4794 b,Transiting Exoplanet Survey Satellite (TESS),3.5658116,14.35870428,308.2935548,0.1,6390,1.451,1.25,12.563,11.123,12.4496
549,TOI-480 b,Transiting Exoplanet Survey Satellite (TESS),6.866196,2.85372018,20.8,0,6174,1.4877,1.2793,7.28,6.01,7.1442
550,TOI-481 b,Transiting Exoplanet Survey Satellite (TESS),10.33111,11.09691,486.2799,0.153,5735,1.66,1.14,9.972,8.443,9.84659
551,TOI-4860 b,Transiting Exoplanet Survey Satellite (TESS),1.5227591,8.7,86.7,0.008,3260,0.358,0.34,16.47,11.175,15.1091
552,TOI-4914 b,Transiting Exoplanet Survey Satellite (TESS),10.60057,12.87,227,0.408,5805,1,1.03,12.235,10.706,12.0997
553,TOI-4961 b,Transiting Exoplanet Survey Satellite (TESS),7.479182,12.34108775,572.0911326,0.182,5380,0.912,0.912,12.486,10.304,12.2685
554,TOI-4994 b,Transiting Exoplanet Survey Satellite (TESS),21.491984,8.54124329,88.99195396,0.319,5640,1.055,1.005,12.652,10.797,12.4792
555,TOI-500 b,Transiting Exoplanet Survey Satellite (TESS),0.548177,1.166,1.42,0.063,4440,0.678,0.74,10.54,7.715,10.1026
557,TOI-5027 b,Transiting Exoplanet Survey Satellite (TESS),10.24368,10.76062147,642.0133821,0.385,5909,0.92,1.02,11.566,9.979,11.3341
558,TOI-5076 b,Transiting Exoplanet Survey Satellite (TESS),23.443162,3.48935569,16.14568308,0,4780,0.844,0.789,10.9,8.582,10.5927
561,TOI-5110 b,Transiting Exoplanet Survey Satellite (TESS),30.158577,11.98240037,921.7023803,0.745,6160,2.333,1.469,11.06,9.318,10.6815
562,TOI-512 b,Transiting Exoplanet Survey Satellite (TESS),7.18886,1.54,3.57,0.02,5277,0.89,0.74,9.735,7.797,9.48032
566,TOI-5153 b,Transiting Exoplanet Survey Satellite (TESS),20.33003,11.88151954,1036.120607,0.091,6300,1.4,1.24,11.932,10.408,11.5779
568,TOI-5181 A b,Transiting Exoplanet Survey Satellite (TESS),3.8922295,13.34989601,330.5415433,0.15,6060,1.53,1.25,12.301,10.627,12.2189
569,TOI-519 b,Transiting Exoplanet Survey Satellite (TESS),1.2652328,11.54525012,147.1545524,0.33,3322,0.35,0.335,17.35,11.951,15.7067
570,TOI-5205 b,Transiting Exoplanet Survey Satellite (TESS),1.630757,11.6,343,0.02,3430,0.394,0.392,15.899,11.006,14.9317
571,TOI-5210 b,Transiting Exoplanet Survey Satellite (TESS),4.5661061,10.72699453,81.99972901,0.066,5723,1.209,1.105,12.118,10.308,11.9381
572,TOI-5218 b,Transiting Exoplanet Survey Satellite (TESS),4.291452,9.86,657,0,4230,0.708,0.739,16.044,12.546,15.4499
573,TOI-5232 b,Transiting Exoplanet Survey Satellite (TESS),4.0966692,12.778238,743.7184724,0.035,6500,1.785,1.389,12.246,10.857,12.168
575,TOI-5261 b,Transiting Exoplanet Survey Satellite (TESS),4.1509768,11.60129502,3651.848396,0.1585,5790,1.021,1.037,12.68,11.156,12.6023
576,TOI-5293 A b,Transiting Exoplanet Survey Satellite (TESS),2.930289,11.9,170.4,0.38,3586,0.52,0.54,16.19,11.639,14.9816
577,TOI-530 b,Transiting Exoplanet Survey Satellite (TESS),6.387597,9.30345398,127.1313628,0,3659,0.54,0.53,15.403,11.238,14.6439
578,TOI-5300 b,Transiting Exoplanet Survey Satellite (TESS),2.262196,9.86390302,190.6970442,0,4610,0.65,0.67,13.869,10.568,13.2333
579,TOI-5301 b,Transiting Exoplanet Survey Satellite (TESS),5.858858,13.09208946,1182.321674,0.33,6240,2.19,1.483,11.738,10.336,11.5696
581,TOI-532 b,Transiting Exoplanet Survey Satellite (TESS),2.3266508,5.82,61.5,0,3927,0.612,0.639,14.413,10.587,13.6645
582,TOI-5322 b,Transiting Exoplanet Survey Satellite (TESS),5.4233207,16.6117094,184.0226477,0.055,5692,1.462,0.998,12.733,10.9,12.4839
583,TOI-5340 b,Transiting Exoplanet Survey Satellite (TESS),4.9394392,15.07607904,270.154146,0.13,5990,1.842,1.35,12.399,10.607,12.2074
584,TOI-5344 b,Transiting Exoplanet Survey Satellite (TESS),3.792622,10.60369574,130.9453037,0.054,3747,0.588,0.612,15.402,10.86,14.3361
585,TOI-5350 b,Transiting Exoplanet Survey Satellite (TESS),7.581367,12.41955062,2094.489202,0.0165,6220,1.263,1.167,11.953,9.985,11.7055
586,TOI-5386 A b,Transiting Exoplanet Survey Satellite (TESS),3.62156552,14.70618268,155.1002626,0.072,6094,1.245,1.165,11.554,10.414,11.7598
588,TOI-5398 b,Transiting Exoplanet Survey Satellite (TESS),10.590547,10.3,58.7,0.13,6000,1.051,1.146,10.059,8.713,9.98233
589,TOI-5398 c,Transiting Exoplanet Survey Satellite (TESS),4.77271,3.52,11.8,0.14,6000,1.051,1.146,10.059,8.713,9.98233
591,TOI-544 b,Transiting Exoplanet Survey Satellite (TESS),1.548352,2.018,2.89,0,4169,0.623,0.631,10.777,7.8,10.4143
592,TOI-5542 b,Transiting Exoplanet Survey Satellite (TESS),75.12375,11.30986153,419.5334972,0.018,5700,1.058,0.89,12.42,10.897,12.2819
593,TOI-5573 b,Transiting Exoplanet Survey Satellite (TESS),8.79758977,9.75,112,0.072,3790,0.594,0.619,15.508,11.448,14.6741
594,TOI-558 b,Transiting Exoplanet Survey Satellite (TESS),14.574071,12.17295304,1147.360549,0.298,6466,1.496,1.349,11.233,10.262,11.3253
595,TOI-559 b,Transiting Exoplanet Survey Satellite (TESS),6.9839095,12.22899794,1910.148726,0.151,5925,1.233,1.026,11.091,9.638,10.9777
596,TOI-5592 b,Transiting Exoplanet Survey Satellite (TESS),2.6085846,17.14974047,285.7277379,0.062,6237,1.393,1.194,12.614,11.363,12.4963
601,TOI-5616 b,Transiting Exoplanet Survey Satellite (TESS),2.002849,10.78,624,0,3996,0.646,0.666,16.74,12.735,15.6306
602,TOI-5634 A b,Transiting Exoplanet Survey Satellite (TESS),2.2035373,10.42,588,0,3896,0.54,0.556,16.854,12.913,15.9978
603,TOI-564 b,Transiting Exoplanet Survey Satellite (TESS),1.651144,11.43318,464.98529,0.072,5640,1.088,0.998,11.097,9.604,11.1424
604,TOI-5678 b,Transiting Exoplanet Survey Satellite (TESS),47.73022,4.91,20,0.14,5485,0.938,0.905,11.438,9.563,11.1483
605,TOI-5688 A b,Transiting Exoplanet Survey Satellite (TESS),2.94815527,10.3,124,0.128,3713,0.57,0.6,15.78,11.959,15.324
611,TOI-5795 b,Transiting Exoplanet Survey Satellite (TESS),6.1406325,5.62,23.66,0.25,5715,1.082,0.901,10.708,9.168,10.6376
614,TOI-5800 b,Transiting Exoplanet Survey Satellite (TESS),2.6278838,2.46,9.5,0.3,4850,0.773,0.778,9.553001,7.191,9.21824
616,TOI-5817 b,Transiting Exoplanet Survey Satellite (TESS),15.61031,3.08,10.3,0.2,5770,1.427,0.97,8.64,7.084,8.48343
617,TOI-5882 b,Transiting Exoplanet Survey Satellite (TESS),7.148972,11.46678726,6995.403238,0.0339,5920,2.26,1.334,11.315,9.615,11.1063
621,TOI-6016 b,Transiting Exoplanet Survey Satellite (TESS),4.023687,13.67495645,371.8592362,0,6110,1.51,1.31,11.886,10.224,11.9184
622,TOI-6029 b,Transiting Exoplanet Survey Satellite (TESS),5.7987,14.39233122,519.6494454,0.091,6223,2.338,1.548,12.858,10.369,12.2681
623,TOI-6034 b,Transiting Exoplanet Survey Satellite (TESS),2.576184,11.92,254,0.04,3635,0.489,0.514,15.189,11.016,14.3143
625,TOI-6054.01,Transiting Exoplanet Survey Satellite (TESS),7.501428,2.64,12.5,0.164,6047,1.662,1.107,8.020001,6.673,7.87799
626,TOI-6054.02,Transiting Exoplanet Survey Satellite (TESS),12.563636,2.82,9.3,0.332,6047,1.662,1.107,8.020001,6.673,7.87799
630,TOI-6130 b,Transiting Exoplanet Survey Satellite (TESS),2.392679,14.3474953,333.7198274,0.036,6110,1.51,1.31,11.21,9.655,10.9775
631,TOI-615 b,Transiting Exoplanet Survey Satellite (TESS),4.6615983,18.97680433,138.2553571,0.39,6850,1.732,1.449,10.825,9.669,10.5775
633,TOI-622 b,Transiting Exoplanet Survey Satellite (TESS),6.402513,9.2362001,96.30200732,0.42,6400,1.415,1.313,8.995,7.858,8.89103
635,TOI-6255 b,Transiting Exoplanet Survey Satellite (TESS),0.23818244,1.079,1.44,0,3421,0.37,0.353,12.747,8.071,11.6345
636,TOI-628 b,Transiting Exoplanet Survey Satellite (TESS),3.4095675,11.88154,2011.8639,0.072,6250,1.345,1.311,10.112,8.811,10.0579
637,TOI-6303 b,Transiting Exoplanet Survey Satellite (TESS),9.485236,11.59,2493,0.02,3977,0.609,0.644,14.639,10.826,13.9114
638,TOI-6324 b,Transiting Exoplanet Survey Satellite (TESS),0.279221,1.059,1.17,0,3247,0.293,0.269,13.386,8.691,12.214
639,TOI-6330 b,Transiting Exoplanet Survey Satellite (TESS),6.8500246,10.89,3179,0.34,3539,0.49,0.531,16.33,11.513,14.9341
640,TOI-6383 A b,Transiting Exoplanet Survey Satellite (TESS),1.79058695,11.29,331,0.05,3444,0.457,0.458,16.63,12.087,15.6628
641,TOI-640 b,Transiting Exoplanet Survey Satellite (TESS),5.003777,19.2794468,181.162192,0.013,6460,2.082,1.536,10.51,9.243,10.4006
642,TOI-6420 b,Transiting Exoplanet Survey Satellite (TESS),6.961508,11.93756445,2606.192937,0.078,6020,1.312,1.165,12.994,11.615,12.9023
644,TOI-654.01,Transiting Exoplanet Survey Satellite (TESS),1.527561,2.378,8.71,0,3521,0.43,0.419,14.54,9.918,13.4339
645,TOI-6628 b,Transiting Exoplanet Survey Satellite (TESS),18.18424,10.98480109,235.1930212,0.67,5463,1.01,0.97,12.9,10.836,12.6408
649,TOI-6651 b,Transiting Exoplanet Survey Satellite (TESS),5.056973,5.09,61,0.091,5940,1.721,1.323,10.242,8.684,10.0418
650,TOI-669 b,Transiting Exoplanet Survey Satellite (TESS),3.945152,2.58606487,10,0,5597,0.9882,0.9245,10.606,9.134,10.6364
651,TOI-6695 b,Transiting Exoplanet Survey Satellite (TESS),80.389,9.52763359,66.74396547,0.04,6400,1.517,1.338,10.768,9.512,10.7445
653,TOI-674 b,Transiting Exoplanet Survey Satellite (TESS),1.977143,5.25,23.6,0,3514,0.42,0.42,14.203,9.469,13.0914
654,TOI-677 b,Transiting Exoplanet Survey Satellite (TESS),11.2365985,13.11450742,392.2002542,0.46,6295,1.28,1.181,9.822,8.429,9.66082
660,TOI-7041 b,Transiting Exoplanet Survey Satellite (TESS),9.691,11.43316031,114.4182265,0.04,4700,4.1,1.07,11.251,8.691,10.908
666,TOI-733 b,Transiting Exoplanet Survey Satellite (TESS),4.884765,1.992,5.72,0.046,5585,0.949,0.956,9.44,7.845,9.28881
667,TOI-757 b,Transiting Exoplanet Survey Satellite (TESS),17.46819,2.5,10.5,0.39,5278,0.78,0.8,9.743,7.874,9.55369
668,TOI-762 A b,Transiting Exoplanet Survey Satellite (TESS),3.4716826,8.33948164,79.77493016,0.083,3266,0.425,0.442,16,11.084,14.9535
669,TOI-763 b,Transiting Exoplanet Survey Satellite (TESS),5.6057,2.28,9.79,0.04,5450,0.897,0.917,10.265,8.49,9.99915
670,TOI-763 c,Transiting Exoplanet Survey Satellite (TESS),12.2737,2.63,9.32,0.04,5450,0.897,0.917,10.265,8.49,9.99915
671,TOI-771 b,Transiting Exoplanet Survey Satellite (TESS),2.3260155,1.36,2.47,0.055,3370,0.232,0.22,14.888,9.664,13.3671
672,TOI-776 b,Transiting Exoplanet Survey Satellite (TESS),8.24662,1.798,5,0.052,3725,0.547,0.542,11.536,7.615,10.7409
673,TOI-776 c,Transiting Exoplanet Survey Satellite (TESS),15.665323,2.047,6.9,0.089,3725,0.547,0.542,11.536,7.615,10.7409
674,TOI-778 b,Transiting Exoplanet Survey Satellite (TESS),4.633611,15.4,878,0.21,6643,1.71,1.4,9.109,8.055,8.99436
675,TOI-782 b,Transiting Exoplanet Survey Satellite (TESS),8.0240015,2.734,19.1,0.19,3370,0.413,0.397,14.83,9.86,13.5645
676,TOI-784 b,Transiting Exoplanet Survey Satellite (TESS),2.7970365,1.93,9.67,0,5558,0.907,0.91,9.412,7.64,9.23501
678,TOI-815 b,Transiting Exoplanet Survey Satellite (TESS),11.197259,2.94,7.6,0.2,4869,0.77,0.776,10.217,7.999,9.93978
679,TOI-815 c,Transiting Exoplanet Survey Satellite (TESS),34.976145,2.62,23.5,0.22,4869,0.77,0.776,10.217,7.999,9.93978
682,TOI-836 b,Transiting Exoplanet Survey Satellite (TESS),3.81673,1.704,4.53,0.053,4552,0.665,0.678,9.92,6.804,9.40475
683,TOI-836 c,Transiting Exoplanet Survey Satellite (TESS),8.59545,2.587,9.6,0.078,4552,0.665,0.678,9.92,6.804,9.40475
685,TOI-849 b,Transiting Exoplanet Survey Satellite (TESS),0.765548,3.64,41.8,0,5257,0.97,0.97,11.981,10.418,12.0645
686,TOI-858 B b,Transiting Exoplanet Survey Satellite (TESS),3.2797178,14.06727078,349.6112477,0.15,5842,1.308,1.081,11.183,9.722,11.0695
690,TOI-892 b,Transiting Exoplanet Survey Satellite (TESS),10.62656,11.99363,301.9385,0.125,6261,1.39,1.28,11.43,10.106,11.3435
693,TOI-905 b,Transiting Exoplanet Survey Satellite (TESS),3.739494,13.125739,211.99261,0.024,5570,0.918,0.968,11.08,9.448,11.0813
695,TOI-908 b,Transiting Exoplanet Survey Satellite (TESS),3.183792,3.186,16.137,0.132,5626,1.028,0.95,11.316,9.637,11.1061
699,TOI-954 b,Transiting Exoplanet Survey Satellite (TESS),3.6849729,9.550068,55.30242,0.14,5710,1.892,1.201,10.343,8.779,10.2321
702,WASP-132 c,Transiting Exoplanet Survey Satellite (TESS),1.01153624,1.841,6.26,0,4686,0.758,0.789,11.938,9.674,11.7538
705,WD 1856+534 b,Transiting Exoplanet Survey Satellite (TESS),1.4079405,10.4,4386.054,0,4710,0.0131,0.518,17.244,15.548,16.958
706,Wolf 327 b,Transiting Exoplanet Survey Satellite (TESS),0.5734745,1.24,2.53,0,3542,0.406,0.405,13.018,8.435,11.9522
