pl_name,disc_facility,sy_vmag,sy_kmag,sy_gaiamag
TOI-3568 b,Transiting Exoplanet Survey Satellite (TESS),12.879,10.581,12.7
TOI-3593 b,Transiting Exoplanet Survey Satellite (TESS),12.201,10.266,12.0344
TOI-3629 b,Transiting Exoplanet Survey Satellite (TESS),14.639,10.553,13.8375
TOI-3682 b,Transiting Exoplanet Survey Satellite (TESS),11.678,10.062,11.8754
TOI-3688 A b,Transiting Exoplanet Survey Satellite (TESS),12.241,10.732,12.3686
TOI-3693 b,Transiting Exoplanet Survey Satellite (TESS),11.948,10.151,11.9579
TOI-3714 b,Transiting Exoplanet Survey Satellite (TESS),15.7,10.852,14.3107
TOI-3757 b,Transiting Exoplanet Survey Satellite (TESS),14.812,11.152,14.1321
TOI-3785 b,Transiting Exoplanet Survey Satellite (TESS),14.595,10.165,13.6559
TOI-3807 b,Transiting Exoplanet Survey Satellite (TESS),11.856,10.617,12.0338
TOI-3819 b,Transiting Exoplanet Survey Satellite (TESS),12.542,11.077,12.413
TOI-3837 b,Transiting Exoplanet Survey Satellite (TESS),11.673,10.316,11.8041
TOI-3856 b,Transiting Exoplanet Survey Satellite (TESS),12.292,10.611,12.1318
TOI-3877 b,Transiting Exoplanet Survey Satellite (TESS),12.215,10.916,12.3643
TOI-3884 b,Transiting Exoplanet Survey Satellite (TESS),15.744,10.24,14.2747
TOI-3894 b,Transiting Exoplanet Survey Satellite (TESS),11.992,10.479,11.6943
TOI-3912 b,Transiting Exoplanet Survey Satellite (TESS),12.507,10.922,12.3073
TOI-3919 b,Transiting Exoplanet Survey Satellite (TESS),12.858,11.502,12.7133
TOI-3976 A b,Transiting Exoplanet Survey Satellite (TESS),12.403,11.048,12.2192
TOI-3980 b,Transiting Exoplanet Survey Satellite (TESS),12.549,10.741,12.3751
TOI-3984 A b,Transiting Exoplanet Survey Satellite (TESS),15.694,11.052,14.6718
TOI-4010 b,Transiting Exoplanet Survey Satellite (TESS),12.291,10.157,12.1216
TOI-4010 c,Transiting Exoplanet Survey Satellite (TESS),12.291,10.157,12.1216
TOI-4010 d,Transiting Exoplanet Survey Satellite (TESS),12.291,10.157,12.1216
TOI-406 c,Transiting Exoplanet Survey Satellite (TESS),13.773,8.848,12.5528
TOI-406.01,Transiting Exoplanet Survey Satellite (TESS),13.773,8.848,12.5528
TOI-4087 b,Transiting Exoplanet Survey Satellite (TESS),12.107,10.436,11.7064
TOI-4127 b,Transiting Exoplanet Survey Satellite (TESS),11.441,10.245,11.4122
TOI-4137 b,Transiting Exoplanet Survey Satellite (TESS),11.31,10.004,11.2468
TOI-4145 A b,Transiting Exoplanet Survey Satellite (TESS),12.084,10.286,12.0572
TOI-4153 b,Transiting Exoplanet Survey Satellite (TESS),11.601,10.296,11.5632
TOI-4201 b,Transiting Exoplanet Survey Satellite (TESS),15.163,11.368,14.5001
TOI-421 b,Transiting Exoplanet Survey Satellite (TESS),9.931,8.071,9.77776
TOI-421 c,Transiting Exoplanet Survey Satellite (TESS),9.931,8.071,9.77776
TOI-4214 b,Transiting Exoplanet Survey Satellite (TESS),11.79,10.036,11.4587
TOI-431 b,Transiting Exoplanet Survey Satellite (TESS),9.12,6.723,8.79171
TOI-431 d,Transiting Exoplanet Survey Satellite (TESS),9.12,6.723,8.79171
TOI-4329 b,Transiting Exoplanet Survey Satellite (TESS),12.724,10.63,12.4747
TOI-4377 b,Transiting Exoplanet Survey Satellite (TESS),11.707,9.148,11.4565
TOI-4379 b,Transiting Exoplanet Survey Satellite (TESS),12.661,10.732,12.4083
TOI-4406 b,Transiting Exoplanet Survey Satellite (TESS),10.937,9.73,10.9545
TOI-4438 b,Transiting Exoplanet Survey Satellite (TESS),13.69,8.869,12.5196
TOI-4463 A b,Transiting Exoplanet Survey Satellite (TESS),11.036,9.402,10.9505
TOI-4465 b,Transiting Exoplanet Survey Satellite (TESS),10.427,8.787,10.3255
TOI-4487 A b,Transiting Exoplanet Survey Satellite (TESS),12.109,10.556,11.9269
TOI-4504 c,Transiting Exoplanet Survey Satellite (TESS),13.364,11.236,13.1277
TOI-4515 b,Transiting Exoplanet Survey Satellite (TESS),11.938,10.134,11.8121
TOI-4551 b,Transiting Exoplanet Survey Satellite (TESS),9.973,7.524,9.641
TOI-4582 b,Transiting Exoplanet Survey Satellite (TESS),11.27,9.329001,11.0809
TOI-4600 b,Transiting Exoplanet Survey Satellite (TESS),12.577,10.571,12.4406
TOI-4600 c,Transiting Exoplanet Survey Satellite (TESS),12.577,10.571,12.4406
TOI-4603 b,Transiting Exoplanet Survey Satellite (TESS),9.24,7.786,9.07469
TOI-4633 c,Transiting Exoplanet Survey Satellite (TESS),9.017,7.349,8.81983
TOI-4641 b,Transiting Exoplanet Survey Satellite (TESS),7.51,6.579,7.40775
TOI-4734 b,Transiting Exoplanet Survey Satellite (TESS),12.358,10.848,12.3807
TOI-4773 b,Transiting Exoplanet Survey Satellite (TESS),12.075,10.715,11.7194
TOI-4791 b,Transiting Exoplanet Survey Satellite (TESS),11.541,10.019,11.3152
TOI-4794 b,Transiting Exoplanet Survey Satellite (TESS),12.563,11.123,12.4496
TOI-480 b,Transiting Exoplanet Survey Satellite (TESS),7.28,6.01,7.1442
TOI-481 b,Transiting Exoplanet Survey Satellite (TESS),9.972,8.443,9.84659
TOI-4860 b,Transiting Exoplanet Survey Satellite (TESS),16.47,11.175,15.1091
TOI-4914 b,Transiting Exoplanet Survey Satellite (TESS),12.235,10.706,12.0997
TOI-4961 b,Transiting Exoplanet Survey Satellite (TESS),12.486,10.304,12.2685
TOI-4994 b,Transiting Exoplanet Survey Satellite (TESS),12.652,10.797,12.4792
TOI-500 b,Transiting Exoplanet Survey Satellite (TESS),10.54,7.715,10.1026
TOI-5027 b,Transiting Exoplanet Survey Satellite (TESS),11.566,9.979,11.3341
TOI-5076 b,Transiting Exoplanet Survey Satellite (TESS),10.9,8.582,10.5927
TOI-5110 b,Transiting Exoplanet Survey Satellite (TESS),11.06,9.318,10.6815
TOI-512 b,Transiting Exoplanet Survey Satellite (TESS),9.735,7.797,9.48032
TOI-5153 b,Transiting Exoplanet Survey Satellite (TESS),11.932,10.408,11.5779
TOI-5181 A b,Transiting Exoplanet Survey Satellite (TESS),12.301,10.627,12.2189
TOI-519 b,Transiting Exoplanet Survey Satellite (TESS),17.35,11.951,15.7067
TOI-5205 b,Transiting Exoplanet Survey Satellite (TESS),15.899,11.006,14.9317
TOI-5210 b,Transiting Exoplanet Survey Satellite (TESS),12.118,10.308,11.9381
